Date,Close,High,Low,Open,Volume
2025-10-03,4.440000057220459,8.25,4.079999923706055,5.320000171661377,4208400
2025-10-06,3.7200000286102295,4.170000076293945,3.680000066757202,4.170000076293945,441100
2025-10-07,4.130000114440918,5.0,3.490000009536743,3.690999984741211,568600
2025-10-08,4.099999904632568,4.300000190734863,4.050000190734863,4.190000057220459,64900
2025-10-09,4.190000057220459,4.460000038146973,4.125,4.159999847412109,267400
2025-10-10,5.389999866485596,5.5,4.269999980926514,4.380000114440918,676400
2025-10-13,4.489999771118164,5.34499979019165,4.400000095367432,5.039999961853027,109700
2025-10-14,4.550000190734863,4.800000190734863,4.119999885559082,4.289999961853027,58400
2025-10-15,4.590000152587891,4.699999809265137,4.400000095367432,4.400000095367432,29600
2025-10-16,4.769999980926514,4.800000190734863,4.329999923706055,4.699999809265137,79700
2025-10-17,4.909999847412109,5.0,4.25,4.599999904632568,993200
2025-10-20,4.605000019073486,5.300000190734863,4.360000133514404,4.909999847412109,90900
2025-10-21,4.389999866485596,4.699999809265137,4.269999980926514,4.570000171661377,121300
2025-10-22,4.619999885559082,4.670000076293945,4.400000095367432,4.610000133514404,51700
2025-10-23,4.5,4.650000095367432,4.429999828338623,4.650000095367432,28600
2025-10-24,4.440000057220459,4.849999904632568,4.349999904632568,4.349999904632568,804100
2025-10-27,4.300000190734863,4.614999771118164,4.199999809265137,4.501999855041504,42900
2025-10-28,4.539999961853027,4.699999809265137,4.25,4.400000095367432,828200
2025-10-29,4.480000019073486,4.590000152587891,4.360000133514404,4.489999771118164,547300
2025-10-30,4.630000114440918,4.820000171661377,4.400000095367432,4.400000095367432,209700
2025-10-31,4.730000019073486,4.989999771118164,4.630000114440918,4.710000038146973,129100
2025-11-03,4.619999885559082,4.833000183105469,4.610000133514404,4.789999961853027,44500
2025-11-04,4.460000038146973,4.699999809265137,4.429999828338623,4.550000190734863,131000
2025-11-05,4.579999923706055,4.765999794006348,4.460000038146973,4.46999979019165,37900
2025-11-06,4.579999923706055,4.690000057220459,4.489999771118164,4.639999866485596,39900
