Date,Close,High,Low,Open,Volume
2023-11-21,16701.75390625,19649.123046875,15228.0703125,19649.123046875,149
2023-11-22,17045.61328125,18077.193359375,16210.5263671875,17192.982421875,41
2023-11-24,18175.439453125,19305.263671875,17536.841796875,17929.82421875,18
2023-11-27,19550.876953125,20847.71875,17045.61328125,18273.68359375,129
2023-11-28,19845.61328125,20385.96484375,18421.052734375,19698.24609375,70
2023-11-29,17414.03515625,20631.578125,16210.5263671875,20631.578125,233
2023-11-30,13803.5087890625,17831.578125,11838.5966796875,16259.6494140625,68
2023-12-01,14049.123046875,15178.947265625,12526.3154296875,13754.3857421875,32
2023-12-04,11887.7197265625,13508.771484375,11543.859375,13361.4033203125,35
2023-12-05,10807.017578125,13508.771484375,10021.052734375,12231.5791015625,36
2023-12-06,11592.982421875,13017.5439453125,9912.982421875,10856.140625,80
2023-12-07,10463.158203125,14098.24609375,10119.2978515625,11592.982421875,52
2023-12-08,10119.2978515625,12035.087890625,7564.912109375,10463.158203125,71
2023-12-11,9087.7197265625,10168.4208984375,8596.4912109375,9824.5615234375,21
2023-12-12,8498.24609375,9431.5791015625,7957.89453125,7957.89453125,4
2023-12-13,8817.5439453125,9038.5966796875,7859.64892578125,8498.24609375,7
2023-12-14,8940.3505859375,9539.6494140625,7874.3857421875,8547.3681640625,8
2023-12-15,8891.228515625,11887.7197265625,8842.10546875,9578.947265625,55
2023-12-18,9505.2626953125,10610.5263671875,8940.3505859375,9185.96484375,25
2023-12-19,9878.5966796875,10399.2978515625,9402.10546875,10021.052734375,6
2023-12-20,9529.82421875,10021.052734375,9382.4560546875,9480.7021484375,5
2023-12-21,8989.4736328125,9824.5615234375,8891.228515625,9824.5615234375,7
2023-12-22,8989.4736328125,9578.947265625,7761.4033203125,8989.4736328125,8
2023-12-26,8547.3681640625,8989.4736328125,7957.89453125,8842.10546875,6
2023-12-27,8832.2802734375,9824.5615234375,8596.4912109375,9824.5615234375,5
2023-12-28,8842.10546875,9087.7197265625,8694.7373046875,8989.4736328125,2
2023-12-29,8979.6494140625,9087.7197265625,8743.859375,8743.859375,2
2024-01-02,9284.2109375,9775.4384765625,8940.3505859375,8940.3505859375,2
2024-01-03,9014.03515625,9284.2109375,8694.7373046875,9136.841796875,3
2024-01-04,7859.64892578125,8842.10546875,7392.982421875,8842.10546875,5
2024-01-05,8159.29833984375,8547.3681640625,7663.15771484375,7663.15771484375,3
2024-01-08,8498.24609375,9578.947265625,8498.24609375,8694.7373046875,3
2024-01-09,8645.6142578125,8842.10546875,8645.6142578125,8842.10546875,0
2024-01-10,8645.6142578125,8645.6142578125,8203.5087890625,8645.6142578125,0
2024-01-11,8743.859375,9284.2109375,8645.6142578125,8694.7373046875,2
2024-01-12,8400.0,8881.4033203125,8154.3857421875,8881.4033203125,4
